pressure,radius_internal,radius_external
37.3772619,390.874787911195,448.2505
36.8113185,389.04176059052,446.653
36.2483748,386.65886297274,444.579
35.6874309,383.729337159178,442.0335
35.1404856,383.141736341294,441.5235
34.5795417,381.676948587902,440.253
34.0325964,379.418516926391,438.2965
33.4806516,378.336881673756,437.3605
32.9527044,375.201966314973,434.6515
32.4187578,373.107736584719,432.845
31.8748122,371.849633851335,431.761
31.3398657,371.113877846978,431.1275
30.8179179,369.503999140228,429.7425
30.2949702,367.417152055565,427.9495
29.777022,366.169728016083,426.879
29.2620735,363.396424831921,424.5025
28.7461251,361.097300419668,422.536
28.2291768,360.625063785952,422.1325
27.7232274,359.493824420701,421.1665
27.2112786,357.21259204481,419.221
26.7123285,355.180692261519,417.491
26.2053792,353.785870406623,416.305
25.7094288,353.10495872562,415.7265
25.1964801,350.513312629666,413.5275
24.7215276,349.543747634501,412.706
24.2455752,348.754197796416,412.0375
23.7706227,347.883156209987,411.3005
23.2966701,345.956264083152,409.672
22.8187179,343.56243949335,407.6525
22.3597638,341.789002683486,406.159
21.8828115,341.46513724921,405.8865
21.4038594,340.432922051646,405.0185
20.957904,338.478349681884,403.377
20.5119486,337.801242678845,402.809
20.0569941,337.644425513915,402.6775
19.5900408,336.561616905986,401.77
19.1830815,334.58601681275,400.1165
18.7361262,333.22489630184,398.979
18.3001698,331.513180921395,397.5505
17.8342164,330.350533852485,396.5815
17.4122586,330.22447535975,396.4765
16.9863012,328.909584838101,395.382
16.5643434,327.474513199687,394.189
16.1423856,326.867059543512,393.6845
15.7474251,325.681242589471,392.7005
15.3324666,325.558245597653,392.5985
14.9335065,324.839869910348,392.003
14.5355463,323.345426849711,390.7655
14.168583,321.038194139921,388.8585
13.7826216,319.678854858078,387.737
13.4066592,319.302179724195,387.4265
13.038696,318.852530506458,387.056
12.6957303,317.92163638957,386.2895
12.3147684,317.749692334032,386.148
11.9368062,316.418080841427,385.053
11.6048394,315.680352387303,384.447
11.2648734,314.391021492936,383.389
10.9269072,314.489793116362,383.47
10.5919407,314.283092727913,383.3005
10.2749724,313.823802236815,382.924
9.9530046,312.612606429062,381.932
